Module 12 Neural Network Training Log
======================================================================

RANDOM_SEED = 42
HIDDEN_UNITS = 6
LEARNING_RATE = 0.05
MAX_EPOCHS = 10000
PATIENCE = 100

Rows used after filtering: 12712
Training set size: 10169
Test set size: 2543

TRAINING PRINTOUTS
----------------------------------------------------------------------
Epoch   100 | Train MSE: 0.247902 | Test MSE: 0.248268 | Test Accuracy: 0.5411
Epoch   200 | Train MSE: 0.247544 | Test MSE: 0.247951 | Test Accuracy: 0.5411
Epoch   300 | Train MSE: 0.247168 | Test MSE: 0.247594 | Test Accuracy: 0.5411
Epoch   400 | Train MSE: 0.246737 | Test MSE: 0.247179 | Test Accuracy: 0.5411
Epoch   500 | Train MSE: 0.246224 | Test MSE: 0.246683 | Test Accuracy: 0.5411
Epoch   600 | Train MSE: 0.245599 | Test MSE: 0.246079 | Test Accuracy: 0.5411
Epoch   700 | Train MSE: 0.244829 | Test MSE: 0.245333 | Test Accuracy: 0.5411
Epoch   800 | Train MSE: 0.243874 | Test MSE: 0.244409 | Test Accuracy: 0.5411
Epoch   900 | Train MSE: 0.242694 | Test MSE: 0.243267 | Test Accuracy: 0.5411
Epoch  1000 | Train MSE: 0.241245 | Test MSE: 0.241866 | Test Accuracy: 0.5411
Epoch  1100 | Train MSE: 0.239490 | Test MSE: 0.240169 | Test Accuracy: 0.5411
Epoch  1200 | Train MSE: 0.237397 | Test MSE: 0.238148 | Test Accuracy: 0.5419
Epoch  1300 | Train MSE: 0.234953 | Test MSE: 0.235791 | Test Accuracy: 0.5525
Epoch  1400 | Train MSE: 0.232171 | Test MSE: 0.233112 | Test Accuracy: 0.6720
Epoch  1500 | Train MSE: 0.229094 | Test MSE: 0.230155 | Test Accuracy: 0.7157
Epoch  1600 | Train MSE: 0.225800 | Test MSE: 0.226998 | Test Accuracy: 0.7169
Epoch  1700 | Train MSE: 0.222397 | Test MSE: 0.223745 | Test Accuracy: 0.7184
Epoch  1800 | Train MSE: 0.219007 | Test MSE: 0.220516 | Test Accuracy: 0.7200
Epoch  1900 | Train MSE: 0.215751 | Test MSE: 0.217427 | Test Accuracy: 0.7200
Epoch  2000 | Train MSE: 0.212733 | Test MSE: 0.214578 | Test Accuracy: 0.7208
Epoch  2100 | Train MSE: 0.210023 | Test MSE: 0.212034 | Test Accuracy: 0.7208
Epoch  2200 | Train MSE: 0.207661 | Test MSE: 0.209831 | Test Accuracy: 0.7212
Epoch  2300 | Train MSE: 0.205652 | Test MSE: 0.207971 | Test Accuracy: 0.7212
Epoch  2400 | Train MSE: 0.203977 | Test MSE: 0.206434 | Test Accuracy: 0.7220
Epoch  2500 | Train MSE: 0.202604 | Test MSE: 0.205186 | Test Accuracy: 0.7220
Epoch  2600 | Train MSE: 0.201493 | Test MSE: 0.204187 | Test Accuracy: 0.7220
Epoch  2700 | Train MSE: 0.200602 | Test MSE: 0.203395 | Test Accuracy: 0.7220
Epoch  2800 | Train MSE: 0.199891 | Test MSE: 0.202774 | Test Accuracy: 0.7220
Epoch  2900 | Train MSE: 0.199328 | Test MSE: 0.202288 | Test Accuracy: 0.7220
Epoch  3000 | Train MSE: 0.198881 | Test MSE: 0.201911 | Test Accuracy: 0.7220
Epoch  3100 | Train MSE: 0.198528 | Test MSE: 0.201618 | Test Accuracy: 0.7220
Epoch  3200 | Train MSE: 0.198248 | Test MSE: 0.201391 | Test Accuracy: 0.7220
Epoch  3300 | Train MSE: 0.198025 | Test MSE: 0.201215 | Test Accuracy: 0.7220
Epoch  3400 | Train MSE: 0.197848 | Test MSE: 0.201079 | Test Accuracy: 0.7220
Epoch  3500 | Train MSE: 0.197706 | Test MSE: 0.200972 | Test Accuracy: 0.7220
Epoch  3600 | Train MSE: 0.197592 | Test MSE: 0.200889 | Test Accuracy: 0.7220
Epoch  3700 | Train MSE: 0.197500 | Test MSE: 0.200824 | Test Accuracy: 0.7220
Epoch  3800 | Train MSE: 0.197424 | Test MSE: 0.200773 | Test Accuracy: 0.7220
Epoch  3900 | Train MSE: 0.197363 | Test MSE: 0.200732 | Test Accuracy: 0.7220
Epoch  4000 | Train MSE: 0.197312 | Test MSE: 0.200698 | Test Accuracy: 0.7220
Epoch  4100 | Train MSE: 0.197269 | Test MSE: 0.200671 | Test Accuracy: 0.7220
Epoch  4200 | Train MSE: 0.197234 | Test MSE: 0.200649 | Test Accuracy: 0.7220
