program_name,university,comments,date_added,entry_url,applicant_status,acceptance_date,rejection_date,start_term,student_type,gre_score,gre_v_score,degree,gpa,gre_aw,raw_listing,source_page,initial_cluster,final_cluster
Environmental Economics,Stockholm University,,Stockholm University,https://www.thegradcafe.com/result/1020288,Accepted,May 31,,Fall 2026,International,,,PhD,,,"Stockholm University Environmental Economics PhD May 31, 2026 Accepted on May 31 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,23,76
Global Health,Meharry Medical College,,Meharry Medical College,https://www.thegradcafe.com/result/1020287,Accepted,May 29,,Fall 2026,American,,,PhD,3.9,,"Meharry Medical College Global Health PhD May 30, 2026 Accepted on May 29 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,0,59
Public Policy,University of Massachusetts,,University of Massachusetts,https://www.thegradcafe.com/result/1020286,Waitlisted,,,Fall 2026,International,,,PhD,,,"University of Massachusetts Public Policy PhD May 29, 2026 Wait listed on May 29 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,34,32
Engineering Science,University of Oxford,,University of Oxford,https://www.thegradcafe.com/result/1020285,Accepted,Apr 17,,Fall 2026,,,,PhD,,,"University of Oxford Engineering Science PhD May 29, 2026 Accepted on Apr 17 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,37,17
Mechanical Engineering,Rice University,,Rice University,https://www.thegradcafe.com/result/1020284,Accepted,May 08,,Fall 2026,International,,,PhD,3.84,,"Rice University Mechanical Engineering PhD May 29, 2026 Accepted on May 08 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,38,13
Computer Science,Georgia Institute of Technology,,Georgia Institute of Technology,https://www.thegradcafe.com/result/1020283,Rejected,,May 29,Fall 2026,American,,,PhD,3.9,,"Georgia Institute of Technology Computer Science PhD May 29, 2026 Rejected on May 29 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,1,2
Computer Science and Engineering,University of Delaware,,University of Delaware,https://www.thegradcafe.com/result/1020282,Waitlisted,,,Fall 2026,International,,,PhD,3.5,,"University of Delaware Computer Science and Engineering PhD May 29, 2026 Wait listed on May 29 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,20,71
Neuroscience,McGill University,,McGill University,https://www.thegradcafe.com/result/1020281,Accepted,May 25,,Fall 2026,International,,,Masters,,,"McGill University Neuroscience Masters May 29, 2026 Accepted on May 25 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,46,43
Consumer Science,Ohio State University,,Ohio State University,https://www.thegradcafe.com/result/1020280,Accepted,May 15,,Fall 2026,International,,,Masters,3.84,,"Ohio State University Consumer Science Masters May 29, 2026 Accepted on May 15 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,44,17
Economics,Queen's University,,Queen's University,https://www.thegradcafe.com/result/1020279,Rejected,,May 28,Fall 2026,,,,Masters,3.5,,"Queen's University Economics Masters May 28, 2026 Rejected on May 28 Total comments",https://www.thegradcafe.com/survey?page=1&sort=newest,2,5
